Position (mm),Cluster no.,Si,K,Ca,Ti,Cr,Br,Mn,Fe,Ni,Cu,Zn,Pb,Zr,Rb,PC1,PC2,PC3
191,2,-1.287414013,0.32934048,-0.990594548,0.36679489,-1.936203341,-1.506247213,-0.488798331,4.08712418,-1.141006906,1.803039223,0.172756883,-1.268162082,0.059227576,-0.072059147,0.150360993,0.023276635,-0.274666893
192,2,-1.238836305,0.295804535,-1.079520795,0.294424907,-1.892270848,-1.543000298,-0.592615355,4.129508224,-1.238836305,1.890240777,0.292121289,-1.522971016,0.41481231,-0.124708895,0.166019081,0.081885005,-0.515170801
193,2,-1.491982334,0.28323344,-1.008469333,0.305803843,-1.864323395,-1.673268158,-0.457563203,4.079107281,-1.278208971,1.875760064,0.434117785,-1.130655017,0.176799282,-0.096661477,0.686424563,0.34221203,-0.222509544
194,2,-1.466012439,0.19666269,-1.055633316,0.277387807,-1.66723063,-1.66723063,-0.593009794,4.045686701,-1.132006295,1.856113301,0.418591117,-1.128485165,0.205034832,-0.102764878,0.667465488,0.582398497,-0.605399891
195,2,-1.539116604,0.213387156,-1.061921051,0.364673996,-1.658870084,-1.604180197,-0.501840039,4.046045871,-1.235809214,1.925552457,0.437076509,-0.994231961,0.066112991,-0.240549696,1.069583503,0.73689548,-0.633777158
196,3,-1.602286912,0.148160886,-1.107781735,0.038001776,-1.151726967,-1.370305248,-0.545439912,4.036207123,-1.007849941,1.97992569,0.380603471,-1.315911176,-0.00440375,-0.170066113,1.19510409,1.16351191,-1.406375514
197,2,-1.576654701,0.191210448,-1.023408362,0.262129707,-1.79287781,-1.401301814,-0.715172206,4.145095021,-1.246152632,2.224685006,0.402045271,-1.331532243,0.149083667,-0.092528091,0.835172418,0.537061084,-0.760637676
198,3,-1.669980229,0.27418624,-1.069403083,0.253912298,-1.902312206,-1.173278266,-0.653954531,4.101479889,-1.454180652,2.382281805,0.430205032,-1.039746874,-0.055676127,-0.209523455,1.525830959,0.235204953,-0.80425209
199,2,-1.602681764,0.323592411,-1.067163527,0.37217057,-2.046368085,-1.415741261,-0.620811386,4.096516144,-1.446152961,2.361511929,0.426197211,-1.005678444,0.023285451,-0.168258833,1.174764003,0.104915073,-0.447496174
200,3,-1.650551354,0.110273258,-1.288668065,0.161880686,-1.891476079,-0.596430389,-0.861619385,3.943431796,-1.567901083,2.490965752,0.349445647,-0.669069573,0.031389364,-0.239118705,2.267232903,-0.458248722,-1.692340287
201,3,-1.543015411,0.087537943,-1.27665076,0.074823836,-1.889462793,-0.833867889,-1.133423182,3.907873935,-1.882469757,2.816489021,0.640607291,-0.552616707,0.111068441,-0.248254252,2.822455558,-0.353863147,-1.635240911
202,3,-1.661319995,0.083459265,-1.166270334,0.046847803,-1.852375232,-1.337347921,-1.155725421,3.941803722,-1.693723419,3.100457478,0.700900313,-0.502708458,0.001177766,-0.253519429,2.833157862,0.137730561,-1.172766471
203,3,-1.84574908,0.059756698,-1.234839997,0.006153299,-2.051500888,-0.685893166,-1.177469966,3.879657548,-1.824914993,3.20729572,0.667978009,-0.442062976,0.048735857,-0.348321424,3.408218108,-0.588491511,-1.617744549
204,3,-1.656575721,-0.031911848,-1.053683028,-0.25397665,-1.608438085,-0.32518607,-1.39315827,3.887005845,-1.715831417,3.287099859,0.568566023,-0.458924224,-0.297356946,-0.63580157,4.09408745,0.017452647,-2.281999909
205,3,-1.440066372,0.065342405,-0.996180231,-0.027151096,-1.897203491,-0.45385594,-1.357260469,3.867191722,-1.867350528,3.083363023,0.293264304,-0.681931131,-0.047198937,-0.317756292,2.873185104,-0.636771228,-1.809948796
206,2,-1.061406483,0.206282136,-1.010113188,0.162368949,-2.017971114,-1.037141861,-1.566401186,3.873925343,-1.532112112,2.839928025,-0.079262305,-0.933152147,0.553280786,-0.246973636,1.050590339,-0.922135737,-1.506891618
207,2,-0.929804762,0.338926609,-1.085717557,0.146854702,-1.715098119,-1.787129248,-1.431284524,4.048093916,-1.503605185,2.615838411,-0.107979497,-1.031650336,0.662229053,-0.225278903,0.429455294,0.061442332,-1.181867808
208,2,-0.987978554,0.158915191,-0.888537717,0.086741813,-1.993275599,-0.900826658,-1.366819793,4.014495365,-1.565030463,2.583381321,-0.070002902,-1.389236672,0.659511923,-0.243074443,0.778145478,-0.723879604,-1.35579171
